ext_recipe_id,ingredient_pos,ingredient_text,ingredient_text_norm
71,13,1/2 cup grated Parmesan cheese,1/2 cup grated parmesan cheese
71,14,1/2 teaspoon garlic powder,1/2 teaspoon garlic powder
71,15,skewers,skewers
71,16,cooking spray,cooking spray
71,17,4 tablespoons butter,4 tablespoons butter
71,18,2 teaspoons fresh parsley,2 teaspoons fresh parsley
72,1,"4 slices French bread,","4 slices french bread,"
72,2,2 tablespoons mayonnaise,2 tablespoons mayonnaise
72,3,1/2 cup pimento cheese spread,1/2 cup pimento cheese spread
72,4,1 tomato,1 tomato
72,5,1/8 teaspoon dried basil,1/8 teaspoon dried basil
72,6,salt and freshly ground black pepper,salt and freshly ground black pepper
73,1,"2 2(8-ounce) boneless skinless chicken breasts, patted dry","2 2(8-ounce) boneless skinless chicken breasts, patted dry"
73,2,"3/4 teaspoon kosher salt, divided","3/4 teaspoon kosher salt, divided"
73,3,"1/2 teaspoon black pepper, divided","1/2 teaspoon black pepper, divided"
73,4,1/3 cup all purpose flour,1/3 cup all purpose flour
73,5,"2 large eggs, lightly beaten","2 large eggs, lightly beaten"
73,6,1 1/2 cups seasoned panko (Japanese-style breadcrumbs),1 1/2 cups seasoned panko (japanese-style breadcrumbs)
73,7,"1/4 cup armesan cheese, plus more for garnish","1/4 cup armesan cheese, plus more for garnish"
73,8,2 tablespoons olive oil,2 tablespoons olive oil
73,9,1/4 teaspoon crushed red pepper,1/4 teaspoon crushed red pepper
73,10,1/4 teaspoon garlic powder,1/4 teaspoon garlic powder
73,11,"1 cup marinara sauce, plus more for serving","1 cup marinara sauce, plus more for serving"
73,12,1 cup mozzarella cheese,1 cup mozzarella cheese
74,1,¼ cup lemon juice,¼ cup lemon juice
74,2,3 tablespoons olive oil,3 tablespoons olive oil
74,3,"2 cloves garlic, minced","2 cloves garlic, minced"
74,4,1 tablespoon chopped fresh tarragon,1 tablespoon chopped fresh tarragon
74,5,2 teaspoons Dijon mustard,2 teaspoons dijon mustard
74,6,"½ teaspoon kosher salt, divided","½ teaspoon kosher salt, divided"
74,7,1 (14 ounce) package shredded coleslaw mix,1 (14 ounce) package shredded coleslaw mix
74,8,¾ cup buttermilk,¾ cup buttermilk
74,9,2 teaspoons hot pepper sauce,2 teaspoons hot pepper sauce
74,10,1 teaspoon cayenne pepper,1 teaspoon cayenne pepper
74,11,1 teaspoon ground dried chipotle pepper,1 teaspoon ground dried chipotle pepper
74,12,½ teaspoon ground black pepper,½ teaspoon ground black pepper
74,13,"1 ½ pounds large shrimp - peeled, deveined, and tails removed","1 ½ pounds large shrimp - peeled, deveined, and tails removed"
74,14,2 cups whole wheat panko bread crumbs,2 cups whole wheat panko bread crumbs
74,15,"6 (6 inch) whole-wheat hoagie rolls, split and toasted","6 (6 inch) whole-wheat hoagie rolls, split and toasted"
75,1,2 cups shredded cooked chicken,2 cups shredded cooked chicken
75,2,1 teaspoon chili powder,1 teaspoon chili powder
75,3,1 teaspoon cumin,1 teaspoon cumin
75,4,1/4 teaspoon cayenne pepper,1/4 teaspoon cayenne pepper
75,5,8 (8 inch) flour tortillas,8 (8 inch) flour tortillas
75,6,2 cups grated cheese (see Note),2 cups grated cheese (see note)
75,7,16 wooden toothpicks,16 wooden toothpicks
75,8,olive oil cooking spray,olive oil cooking spray
76,1,1 tablespoon ground cumin,1 tablespoon ground cumin
76,2,1 tablespoon ground coriander,1 tablespoon ground coriander
76,3,"1 1/2 teaspoons ground black pepper, or to taste","1 1/2 teaspoons ground black pepper, or to taste"
76,4,1 teaspoon garlic powder,1 teaspoon garlic powder
76,5,"1 teaspoon salt, or to taste","1 teaspoon salt, or to taste"
76,6,1 pound chicken tenderloins,1 pound chicken tenderloins
76,7,2 teaspoons olive oil,2 teaspoons olive oil
76,8,1 tablespoon fresh parsley,1 tablespoon fresh parsley
76,9,4 wedges lemon (optional),4 wedges lemon (optional)
77,1,4 (7-inch flour tortillas,4 (7-inch flour tortillas
77,2,1/4 cup spicy mustard,1/4 cup spicy mustard
77,3,8 thin slices deli ham,8 thin slices deli ham
77,4,4 slices olby-Jack cheese,4 slices olby-jack cheese
77,5,2 tablespoons butter,2 tablespoons butter
78,1,"New York strip steaks, about 1 1/4-inch thick","new york strip steaks, about 1 1/4-inch thick"
78,2,"1/2 teaspoon seasoned salt, or to taste","1/2 teaspoon seasoned salt, or to taste"
78,3,"1/2 teaspoon ntreal steak seasoning, or other seasoning of choice","1/2 teaspoon ntreal steak seasoning, or other seasoning of choice"
78,4,cooking spray,cooking spray
78,5,"1 teaspoon orcestershire sauce, or to taste (optional)","1 teaspoon orcestershire sauce, or to taste (optional)"
79,1,"1 lb sirloin steak, cut into 1-inch pieces","1 lb sirloin steak, cut into 1-inch pieces"
79,2,3 cups broccoli florets,3 cups broccoli florets
79,3,1 red bell pepper,1 red bell pepper
79,4,"4 green onions, sliced (white and green parts separated)","4 green onions, sliced (white and green parts separated)"
79,5,1 tablespoon vegetable oil,1 tablespoon vegetable oil
79,6,cooking spray,cooking spray
79,7,1/3 cup soy sauce,1/3 cup soy sauce
79,8,3 tablespoons rice vinegar,3 tablespoons rice vinegar
79,9,2 tablespoons honey,2 tablespoons honey
79,10,1 tablespoon fresh ginger,1 tablespoon fresh ginger
79,11,"3 cloves garlic, minced","3 cloves garlic, minced"
79,12,1 teaspoon toasted sesame oil,1 teaspoon toasted sesame oil
79,13,1/4 teaspoon crushed red pepper,1/4 teaspoon crushed red pepper
79,14,1 teaspoon cornstarch,1 teaspoon cornstarch
79,15,2 cups cooked white rice,2 cups cooked white rice
79,16,"toasted sesame seeds, for garnish","toasted sesame seeds, for garnish"
80,1,2/3 cup chopped pecans,2/3 cup chopped pecans
80,2,"1 teaspoon dried rosemary, crushed","1 teaspoon dried rosemary, crushed"
80,3,1/2 teaspoon salt,1/2 teaspoon salt
80,4,2 tablespoons flour,2 tablespoons flour
80,5,1 large egg,1 large egg
80,6,"4 (4-ounce) rainbow trout fillets, thawed if frozen, skinned if desired","4 (4-ounce) rainbow trout fillets, thawed if frozen, skinned if desired"
80,7,2 teaspoons maple syrup,2 teaspoons maple syrup
80,8,"lemon wedges, for serving","lemon wedges, for serving"
81,1,cooking spray,cooking spray
